"filename", "language", "Lua", "YAML", "Markdown", "Shell Script", "CSS", "reStructuredText", "Diff", "XML", "C++", "Properties", "comment", "blank", "total"
"/home/lycan/Programming/rabbithole/rabbithole/components/menus/taglist.lua", "Lua", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 67
"/home/lycan/Programming/rabbithole/rabbithole/components/menus/tasklist.lua", "Lua", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 74
"/home/lycan/Programming/rabbithole/rabbithole/components/rules/client-default.lua", "Lua", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 136
"/home/lycan/Programming/rabbithole/rabbithole/components/viewHelper.lua", "Lua", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 32
"/home/lycan/Programming/rabbithole/rabbithole/components/wiboxes/bars/center.lua", "Lua", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/lycan/Programming/rabbithole/rabbithole/components/wiboxes/bars/left.lua", "Lua", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/lycan/Programming/rabbithole/rabbithole/components/wiboxes/bars/mini-bar.lua", "Lua", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/home/lycan/Programming/rabbithole/rabbithole/components/wiboxes/bars/right.lua", "Lua", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/clock_widget.lua", "Lua", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 65
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/common/class.lua", "Lua", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 55
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/common/elements-base-ui.lua", "Lua", 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 60, 340
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/common/elements-popup.lua", "Lua", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 108
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/common/elements-ui.lua", "Lua", 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 60, 340
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/editable-textbox.lua", "Lua", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 83
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/layout_list.lua", "Lua", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/taglist/init.lua", "Lua", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31, 164
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/taglist/plus_button.lua", "Lua", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 63
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/taglist/template_global.lua", "Lua", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 65
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/taglist/template_local.lua", "Lua", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/taglist/update_function.lua", "Lua", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 23, 182
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/tasklist/init.lua", "Lua", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 77
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/tasklist/view.lua", "Lua", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 60
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/viewHelper.lua", "Lua", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 19, 188
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/wonderlandSystray/app_drawer.lua", "Lua", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 100
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/wonderlandSystray/battery.lua", "Lua", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 142
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/wonderlandSystray/brightness_slider.lua", "Lua", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 53
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/wonderlandSystray/calendar.lua", "Lua", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 64
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/wonderlandSystray/init.lua", "Lua", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/wonderlandSystray/network_widget.lua", "Lua", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 65
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/wonderlandSystray/notifications_toggle.lua", "Lua", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 46
"/home/lycan/Programming/rabbithole/rabbithole/components/widgets/wonderlandSystray/screen_capture.lua", "Lua", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 56
